name,brand,categories,prices,reviews
"
        Go! Solutions Carnivore Grain-Free Lamb + Wild Boar Recipe Dry Dog Food",Go!,a/b,"{'3.5-lb bag': '19.99', '22-lb bag': '79.48', '12-lb bag': '51.99'}",9 Reviews
Addiction Zen Vegetarian Sensitive Care Dry Dog Food,Addiction,a/b,"{'4-lb bag': '$17.99', '33-lb bag': '$79.99'}",1 Review
"
        Bundle: Merrick Real Texas Beef + Sweet Potato Recipe Grain-Free Adult Dry Food + Power Bites Real Texas Beef Recipe Grain-Free Soft & Chewy Dog Treats", Merrick ,a/b,$71.86,0
Dr. Gary's Best Breed Holistic Working Dry Dog Food,Dr. Gary's Best Breed,a/b,"{'30-lb bag': '$63.99', '4-lb bag': '$15.99', '15-lb bag': '$34.99', '28-lb bag': None, '13-lb bag': '$34.99'}",36 Reviews
Essence Air & Gamefowl Grain-Free Dry Dog Food,Essence,a/b,"{'25-lb bag': '$88.99', '4-lb bag': '$18.99', '12.5-lb bag': '$48.99'}",7 Reviews
"Purina Beneful Prime Farm-Raised Beef High Protein Dry Dog Food, 26-lb bag",Purina Beneful,a/b,{'26-lb bag': '$38.98'},135 Reviews
"
        CANIDAE Grain-Free PURE Limited Ingredient Chicken, Lentil & Pea Recipe Dry Dog Food",CANIDAE,a/b,"{'24-lb bag': '74.99', '4-lb bag': '18.35'}",38 Reviews
"
        Bundle: American Journey Active Life Formula Beef, Brown Rice & Vegetables Recipe Dry Food + PetHonesty 10-for-1 Multivitamin with Glucosamine Soft Chews Dog Supplement", American Journey ,a/b,$56.98,0
"
        Zignature Duck Limited Ingredient Formula Grain-Free Dry Dog Food",Zignature,a/b,"{'25-lb bag': '82.99', '12.5-lb bag': '46.24', '4-lb bag': '17.24'}",371 Reviews
"
        Earthborn Holistic Great Plains Feast Grain-Free Natural Dry Dog Food",Earthborn Holistic,a/b,"{'25-lb bag': '63.14', '12.5-lb bag': '38.93', '4-lb bag': '18.93'}",525 Reviews
"
        Eukanuba Premium Performance 26/16 EXERCISE Adult Dry Dog Food, 28-lb bag",Eukanuba,a/b,$77.03,11 Reviews
"
        Bundle: American Journey Active Life Formula Chicken, Brown Rice & Vegetables Recipe Dry Food + PetHonesty Hemp Mobility Snacks Hip + Joint Support Soft Chews Dog Supplement", American Journey ,a/b,$89.98,0
"
        Annamaet Grain-Free Salcha Poulet Formula Dry Dog Food",Annamaet,a/b,"{'25-lb bag': '79.99', '12-lb bag': '42.99', '5-lb bag': '20.99'}",68 Reviews
"Eagle Pack Reduced Fat Adult Dry Dog Food, 30-lb bag",Eagle Pack,a/b,"{'30-lb bag': '$36.69', '6-lb bag': '$12.03', '15-lb bag': '$29.35'}",118 Reviews
"
        Blue Buffalo Basics Skin & Stomach Care Grain-Free Formula Salmon & Potato Recipe Adult Dry Dog Food",Blue Buffalo,a/b,"{'22-lb bag': '63.98', '11-lb bag': '38.98', '4-lb bag': '22.98'}",456 Reviews
"
        Bundle: American Journey Active Life Formula Lamb, Brown Rice & Vegetables Recipe Dry Food + PetHonesty Hemp Calming Anxiety & Hyperactivity Soft Chews Dog Supplement", American Journey ,a/b,$56.98,Read  1 Review
"
        Go! Solutions Skin + Coat Care Lamb Meal Recipe Dry Dog Food",Go!,a/b,"{'12-lb bag': '37.99', '3.5-lb bag': '14.99', '25-lb bag': '64.99'}",46 Reviews
BIXBI RAWBBLE Fresh Turkey Recipe Limited Ingredient Grain-Free Dry Dog Food,BIXBI,a/b,"{'24-lb bag': '$83.99', '4-lb bag': '$19.99'}",2 Reviews
Ketogenic Pet Food Keto Kibble Dog & Cat Dry Food,Ketogenic Pet Food,a/b,"{'8-lb bag': '$48.96', '18-lb bag': '$96.99'}",11 Reviews
"
        Bundle: Hill's Science Diet Adult Small Bites Chicken & Barley Recipe Dry Food + Hill's Natural Soft Savories with Peanut Butter & Banana Dog Treats", Hill's Science Diet ,a/b,$68.98,3 Reviews
Darford Zero/G Wild Caught Pacific Salmon Recipe Limited Ingredients Dry Dog Food,Darford,a/b,"{'4.4-lb bag': '$19.15', '14-lb box': '$61.74'}",Write the First Review
"
        Bundle: Nutro Natural Choice Large Breed Adult Chicken & Brown Rice Recipe Dry Food + SmartBones SmartSticks Peanut Butter Chews Dog Treats", Nutro ,a/b,$62.87,2 Reviews
"
        Merrick Lil' Plates Healthy Grains Real Lamb + Brown Rice Recipe Small Breed Adult Dry Dog Food",Merrick,a/b,"{'12-lb bag': '44.98', '4-lb bag': '21.98'}",33 Reviews
"
        VICTOR Realtree MAX-5 PRO Dry Dog Food",VICTOR,a/b,"{'15-lb bag': '33.99', '40-lb bag': '64.99', '5-lb bag': '14.49'}",20 Reviews
"
        Zignature Lamb Limited Ingredient Formula Grain-Free Dry Dog Food",Zignature,a/b,"{'12.5-lb bag': '41.24', '4-lb bag': '15.24', '25-lb bag': '72.99'}",489 Reviews
"Addiction Zen Holistic Vegetarian Formula Chicken-Free Dry Dog Food, 20-lb bag",Addiction,a/b,"{'20-lb bag': '$65.99', '3-lb bag': '$11.99'}",12 Reviews
"
        Eukanuba Premium Performance 30/20 SPORT Adult Dry Dog Food, 28-lb bag",Eukanuba,a/b,$76.99,45 Reviews
"
        Purina Pro Plan Specialized Shredded Blend Lamb & Rice Formula High Protein Small Breed Dry Dog Food, 18-lb bag",Purina Pro Plan,a/b,$45.20,34 Reviews
Dr. Gary's Best Breed Holistic Grain-Free Red Meat Recipe Dry Dog Food,Dr. Gary's Best Breed,a/b,"{'26-lb bag': '$67.04', '4-lb bag (Original)': '$17.99', '4-lb bag': '$19.49', '13-lb bag': '$41.51', '15-lb bag': '$41.49', '30-lb bag': '$68.99'}",12 Reviews
Regal Pet Foods Lean Recipe Dry Dog Food,Regal Pet Foods,a/b,"{'26-lb bag': '$50.49', '4-lb bag': '$13.49', '13-lb bag': '$28.99'}",2 Reviews
"
        Bundle: CANIDAE Grain-Free PURE Limited Ingredient Salmon & Sweet Potato Recipe Dry Food + Heaven Biscuits with Salmon & Sweet Potato Crunchy Dog Treats", CANIDAE ,a/b,$82.98,2 Reviews
"
        ORIJEN Amazing Grains Original Dry Dog Food",ORIJEN,a/b,"{'4-lb bag': '25.99', '22.5-lb bag': '96.99'}",4 Reviews
"
        Bundle: American Journey Active Life Formula Chicken, Brown Rice & Vegetables Recipe Dog Food + PetHonesty Allergy Support Immunity Strength & Digestive Health Soft Chews Dog Supplement", American Journey ,a/b,$56.98,0
"
        Instinct Be Natural Real Salmon & Brown Rice Recipe Freeze-Dried Raw Coated Dry Dog Food",Instinct,a/b,"{'4.5-lb bag': '17.99', '24-lb bag': '69.99'}",85 Reviews
Tuscan Natural Grain-Free Carne Turkey Dry Dog Food,Tuscan Natural,a/b,"{'28.6-lb bag': '$82.26', '5-lb bag': '$17.96', '15-lb bag': '$47.18'}",10 Reviews
"
        The Honest Kitchen Grain-Free Turkey Whole Food Clusters Dry Dog Food",The Honest Kitchen,a/b,"{'5-lb bag': '29.99', '20-lb bag': '92.99', '1-lb bag': '6.99'}",127 Reviews
"
        Bundle: Nutro Ultra Large Breed Adult Dry Food + PetNC Natural Care Hip & Joint Mobility Support Soft Chews Dog Supplement", Nutro ,a/b,$68.44,0
"Blue Buffalo Freedom Adult Healthy Weight Chicken Recipe Grain-Free Dry Dog Food, 24-lb bag",Blue Buffalo,a/b,"{'24-lb bag': '$59.98', '4-lb bag': '$21.65'}",178 Reviews
"Nulo Frontrunner Ancient Grains Turkey, Trout & Spelt Adult Dry Dog Food",Nulo,a/b,"{'25-lb bag': '$62.99', '3-lb bag': '$10.50', '5-lb bag': '$17.99', '11-lb bag': '$29.99', '23-lb bag': '$52.99'}",19 Reviews
"Forza10 Nutraceutic Active Reproductive Male Diet Dry Dog Food, 18-lb bag",Forza10,a/b,{'18-lb bag': '$69.99'},3 Reviews
"
        Wellness CORE Wholesome Grains Small Breed Original Recipe High Protein Dry Dog Food",Wellness,a/b,"{'12-lb bag': '45.98', '4-lb bag': '17.39'}",8 Reviews
Farmina N&D Ocean Codfish & Orange Ancestral Grain Mini Adult Dry Dog Food,Farmina,a/b,"{'5.5-lb bag': '$26.95', '5.5-lb bag (original)': '$20.59', '15.4-lb bag': '$58.95'}",44 Reviews
"
        Bundle: Wellness Complete Health Adult Deboned Chicken & Oatmeal Recipe Dry Food + Greenies Regular Dental Dog Treats", Wellness ,a/b,$103.96,0
Tripett Beef Tripe & Venison Dry Dog Food,PetKind,a/b,"{'2-kg bag': '$21.99', '10-kg bag': '$83.99'}",Write the First Review
"
        Earthborn Holistic Venture Limited Ingredient Grain-Free Smoked Turkey & Butternut Squash Dry Dog Food",Earthborn Holistic,a/b,"{'4-lb bag': '18.93', '25-lb bag': '77.87', '12.5-lb bag': '39.01'}",133 Reviews
Natural Balance On the Move Chicken & Barley Formula High-Protein Dry Dog Food,Natural Balance,a/b,"{'4-lb bag': '$15.78', '24-lb bag': '$62.99'}",2 Reviews
Darford Zero/G Free Run Chicken Recipe Limited Ingredients Dry Dog Food,Darford,a/b,"{'4.4-lb bag': '$17.28', '14-lb box': '$64.99'}",Write the First Review
Optimeal Nutrient Balance Lamb & Rice Recipe Small Breed Dry Dog Food,Optimeal,a/b,"{'3.3-lb bag': '$15.94', '8.8-lb bag': '$24.05'}",Write the First Review
"
        VICTOR Select Chicken Meal & Sweet Potato Recipe Grain-Free Dry Dog Food",VICTOR,a/b,"{'15-lb bag': '37.99', '30-lb bag': '64.99', '5-lb bag': '15.99'}",78 Reviews
"
        Hill's Science Diet Adult Large Breed Light With Chicken Meal & Barley Dry Dog Food",Hill's Science Diet,a/b,"{'30- lb bag': '61.99', '15-lb bag': '40.99'}",225 Reviews
Walk About Canine Exotics Vegan Recipe Grain-Free Dry Dog Food,Walk About,a/b,"{'25-lb bag': '$71.69', '7-lb bag': '$21.59'}",44 Reviews
"Wholesomes Grain-Free Beef Meal & Potatoes Formula Dry Dog Food, 35-lb bag",Wholesomes,a/b,{'35-lb bag': '$42.09'},85 Reviews
Tender & True Organic Grain-Free Turkey & Liver Recipe Dry Dog Food,Tender & True,a/b,"{'20-lb bag': '$66.29', '4-lb bag': '$15.99', '11-lb bag': '$41.64'}",19 Reviews
"
        Wellness Small Breed Complete Health Adult Healthy Weight Turkey & Brown Rice Recipe Dry Dog Food",Wellness,a/b,"{'4-lb bag': '20.99', '12-lb bag': '42.98'}",206 Reviews
"
        Eukanuba Adult Small Breed Dry Dog Food",Eukanuba,a/b,"{'28-lb bag': '59.79', '15-lb bag': '39.49', '4.5-lb bag': '16.19'}",125 Reviews
Addiction Grain-Free Le Lamb Dry Dog Food,Addiction,a/b,"{'20-lb bag': '$57.99', '4-lb bag': '$15.99', '33-lb bag': '$84.99'}",20 Reviews
Horizon Legacy Adult Grain-Free Dry Dog Food,Horizon,a/b,"{'25.1-lb bag': '$67.99', '8.8-lb bag': '$29.99'}",36 Reviews
"
        Nutro Natural Choice Adult Venison Meal & Brown Rice Recipe Dry Dog Food, 30-lb bag",Nutro,a/b,$76.02,199 Reviews
Dr. Gary's Best Breed Holistic Grain-Free Salmon with Fruits & Vegetables Dry Dog Food,Dr. Gary's Best Breed,a/b,"{'13-lb bag': '$39.02', '4-lb bag (Original)': '$16.99', '4-lb bag': '$17.99', '15-lb bag': '$46.44', '26-lb bag': '$62.03', '30-lb bag': '$65.99'}",45 Reviews
"
        Bundle: Rachael Ray Nutrish Natural Chicken & Veggies Recipe Dry Food + Soup Bones Chicken & Veggies Flavor Dog Treats", Rachael Ray Nutrish ,a/b,$59.76,10 Reviews
"
        Bundle: Nature's Recipe Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Food + SmartBones SmartSticks Peanut Butter Chews Dog Treats", Nature's Recipe ,a/b,$54.87,0
"
        Bundle: PetHonesty 10-for-1 Chicken Flavored Soft Chews Multivitamin for Dogs + Purina Pro Plan Adult Sensitive Skin & Stomach Salmon & Rice Formula Dry Food", PetHonesty ,a/b,$85.97,0
"AvoDerm Advanced Sensitive Support Turkey Formula Grain-Free Small Breed Adult Dry Dog Food, 4-lb bag",AvoDerm,a/b,"{'4-lb bag': '$17.99', '7-lb bag': '$28.62'}",22 Reviews
Tender & True Organic Grain-Free Chicken & Liver Recipe Dry Dog Food,Tender & True,a/b,"{'20-lb bag': '$66.29', '4-lb bag': '$16.14', '11-lb bag': '$34.99'}",46 Reviews
Jiminy's Cricket Crave Dry Dog Food,Jiminy's,a/b,"{'10-lb bag': '$58.95', '3.5-lb bag': '$21.95'}",15 Reviews
"Sportsman's Pride Maintenance 21/12 Formula Adult Dog Food, 33-lb bag",Sportsman's Pride,a/b,{'33-lb bag': '$22.34'},5 Reviews
Diamond Performance Formula Adult Dry Dog Food,Diamond,a/b,"{'40-lb bag': '$43.01', '20-lb bag': '$27.99'}",59 Reviews
"
        Dr. Tim's Heirloom Ancient Grains Fish Formula Dry Dog Food",Dr. Tim's,a/b,"{'15-lb bag': '59.99', '5-lb bag': '23.49'}",21 Reviews
Tiki Dog Aloha Petites Lamb Luau Grain-Free Dry Dog Food,Tiki Dog,a/b,"{'10-lb bag': '$35.99', '3.5-lb bag': '$18.99'}",20 Reviews
Horizon Pulsar Grain-Free Salmon Recipe Dry Dog Food,Horizon,a/b,"{'25-lb bag': '$65.99', '8.8-lb bag': '$26.99'}",46 Reviews
Freely Turkey Recipe Grain-Free Dry Dog Food,Freely,a/b,"{'22-lb bag': '$69.99', '4-lb bag': '$19.99'}",4 Reviews
"
        Merrick Lil' Plates Grain-Free Real Salmon & Sweet Potato Dry Dog Food",Merrick,a/b,"{'12-lb bag': '44.98', '4-lb bag': '21.98'}",91 Reviews
"
        Bundle: Diamond Naturals Chicken & Rice Formula All Life Stages Dry Food + American Journey Beef Recipe Grain-Free Soft & Chewy Training Bits Dog Treats", Diamond ,a/b,$46.28,Read  1 Review
"
        Crave High Protein Beef Adult Grain-Free Dry Dog Food",Crave,a/b,"{'22-lb bag': '47.98', '4-lb bag': '11.98', '12-lb bag': '28.99'}",116 Reviews
Healthy Dogma PetMix Nut & Berry Grain-Free Dog Food,Healthy Dogma,a/b,"{'2-lb bag': '$19.95', '10-lb bag': '$84.95'}",1 Review
"
        I and Love and You Baked and Saucy Chicken and Sweet Potato Dog Food",I and Love and You,a/b,"{'21-lb bag': '65.03', '10.25-lb bag': '38.99', '4-lb bag': '17.99'}",14 Reviews
Go! SENSITIVITIES Limited Ingredient Venison Grain-Free Dry Dog Food,Go!,a/b,"{'22-lb bag': '$123.99', '3.5-lb bag': '$29.99', '6-lb bag': '$39.99', '25-lb bag': '$103.99'}",30 Reviews
"
        Blue Buffalo True Solutions Blissful Belly Digestive Care Formula Dry Dog Food",Blue Buffalo,a/b,"{'24-lb bag': '60.01', '11-lb bag': '34.98', '4-lb bag': '19.85'}",106 Reviews
"
        Bundle: Hill's Science Diet Adult Large Breed Lamb Meal & Brown Rice Dry Food + Hill's Natural Soft Savories with Peanut Butter & Banana Dog Treats", Hill's Science Diet ,a/b,$75.98,3 Reviews
Blackwood 5000 Catfish Meal & Pearled Barley Sensitive Skin & Stomach Formula Dry Dog Food,Blackwood,a/b,"{'30-lb bag': '$61.99', '5-lb bag': '$13.49', '15-lb bag': '$32.39'}",59 Reviews
"
        Merrick Real Chicken + Sweet Potato Recipe Grain-Free Adult Dry Dog Food",Merrick,a/b,"{'4-lb bag': '21.98', '22-lb bag': '64.98', '10-lb bag': '44.98', '30-lb bag': '79.98'}",609 Reviews
Natural Balance Limited Ingredient Beef & Brown Rice Recipe Dry Dog Food,Natural Balance,a/b,"{'22-lb bag': '$54.98', '4-lb bag': '$17.88', '12-lb bag': '$34.98'}",14 Reviews
"
        Wellness CORE Grain-Free Wild Game Duck",Wellness,a/b,"{'4-lb bag': '18.98', '26-lb bag': '74.99', '12-lb bag': '45.98'}",293 Reviews
Artemis Osopure Duck & Garbanzo Bean Formula Grain-Free Dry Dog Food,Artemis,a/b,"{'22-lb bag': '$66.99', '4-lb bag': '$16.99', '7.5-lb bag': '$24.33', '10-lb bag': '$36.99', '28-lb bag': '$59.40'}",6 Reviews
"
        Halo Holistic Wild Salmon & Whitefish Adult Dry Dog Food",Halo,a/b,"{'4-lb bag': '19.99', '14-lb bag': '55.99', '21-lb bag': '65.44'}",114 Reviews
"
        Merrick Grain-Free Real Bison, Beef + Sweet Potato Recipe Dry Dog Food",Merrick,a/b,"{'22-lb bag ': '69.98', '4-lb bag': '24.98', '10-lb bag': '47.98'}",17 Reviews
"
        Health Extension Grain-Free Duck Recipe Dry Dog Food",Health Extension,a/b,"{'10-lb bag': '39.98', '23.5-lb bag': '64.98', '1-lb bag': '3.99', '4-lb bag': '21.10'}",32 Reviews
"
        Blue Buffalo Wilderness Small Breed Chicken Recipe Grain-Free Dry Dog Food",Blue Buffalo,a/b,"{'11-lb bag': '37.98', '4.5-lb bag': '20.98'}",239 Reviews
Ultimates Chicken Meal & Brown Rice Dry Dog Food,Ultimates,a/b,"{'28-lb bag': '$39.98', '5-lb bag (Original)': '$12.99', '5-lb bag': '$13.66', '28-lb bag (Original)': '$34.99'}",47 Reviews
"Sport Dog Food Elite Series Working Dog Grain-Free Turkey Formula Dry Dog Food, 30-lb bag",Sport Dog Food,a/b,{'30-lb bag': '$78.95'},34 Reviews
Tender & True Turkey & Brown Rice Recipe Dry Dog Food,Tender & True,a/b,"{'23-lb bag': '$56.94', '4-lb bag': '$10.99', '11-lb bag': '$29.99'}",5 Reviews
Purina Pro Plan Calm & Balanced Chicken & Rice Calming Dog Dry Food,Purina Pro Plan,a/b,"{'30-lb bag': '$69.49', '5-lb bag': '$21.99', '16-lb bag': '$51.49'}",Write the First Review
Hill's Science Diet Adult Perfect Digestion Small Bites Chicken Dry Dog Food,Hill's Science Diet,a/b,"{'12-lb bag': '$45.99', '3.5-lb bag': '$20.49'}",47 Reviews
"Inukshuk Professional Dry Dog Food 26/16, 33-lb bag",Inukshuk,a/b,{'33-lb bag': '$58.89'},36 Reviews
"Addiction Grain-Free Mega Large Breed Dry Dog Food, 44-lb bag",Addiction,a/b,{'44-lb bag': '$92.39'},3 Reviews
"
        Bil-Jac Picky No More Medium & Large Breed Chicken Liver Recipe Dry Dog Food",Bil-Jac,a/b,"{'27-lb bag': '61.99', '6-lb bag': '23.99'}",116 Reviews
Horizon Amicus Small & Mini Breed Grain-Free Chicken Formula Dry Dog Food,Horizon,a/b,"{'11-lb bag': '$35.99', '5.5-lb bag': '$25.99'}",2 Reviews
"
        Blue Buffalo Wilderness Rocky Mountain Recipe with Red Meat Large Breed Grain-Free Dry Dog Food, 22-lb bag",Blue Buffalo,a/b,$62.98,422 Reviews
American Natural Premium Original Recipe Dry Dog Food,American Natural Premium,a/b,"{'40-lb bag': '$63.99', '4-lb bag (Original)': '$9.16', '4-lb bag': '$13.99', '12-lb bag (Original)': '$25.22', '12-lb bag': '$25.99', '25-lb bag': '$46.99', '40-lb bag (Original)': '$56.88'}",136 Reviews
"Triumph Free Spirit Grain-Free Deboned Duck, Sweet Potato & Venison Recipe Dry Dog Food, 26-lb bag",Triumph,a/b,{'26-lb bag': '$52.49'},6 Reviews
KASIKS Free Run Grain-Free Chicken Formula Dry Dog Food,KASIKS,a/b,"{'25-lb bag': '$64.65', '5-lb bag': '$16.95'}",11 Reviews
"
        Stella & Chewy's Wild Red Raw Coated Kibble Wholesome Grains Red Meat Recipe Dry Dog Food",Stella & Chewy's,a/b,"{'1-lb bag': '5.99', '3.5-lb bag': '20.99', '21-lb bag': '79.99'}",17 Reviews
"Wholesomes Chicken Meal & Potatoes Formula Grain-Free Dry Dog Food, 35-lb bag",Wholesomes,a/b,{'35-lb bag': '$42.09'},49 Reviews
FirstMate Grain Friendly Free Range Lamb Meal & Oats Formula Dog Food,FirstMate,a/b,"{'25-lb bag': '$52.99', '5-lb bag': '$15.99'}",21 Reviews
"
        Bundle: Royal Canin Labrador Retriever Adult Dry Food + Greenies Large Dental Dog Treats", Royal Canin ,a/b,$126.97,0
"SPORTMiX Premium High Energy 26/18 Adult Dry Dog Food, 50-lb bag",SPORTMiX,a/b,"{'50-lb bag': '$37.55', '16.5-lb bag': '$12.99'}",43 Reviews
Wishbone Ocean Grain-Free Dry Dog Food,Wishbone,a/b,"{'24-lb bag': '$69.47', '4-lb bag': '$17.99', '12-lb bag': '$41.99'}",12 Reviews
"
        Blue Buffalo Wilderness Rocky Mountain Recipe with Bison Adult Large Breed Grain-Free Dry Dog Food, 22-lb bag",Blue Buffalo,a/b,$58.98,87 Reviews
"
        American Journey Active Life Formula Large Breed Chicken, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",American Journey,a/b,$49.99,291 Reviews
American Natural Premium Sensitive Care Dry Dog Food,American Natural Premium,a/b,"{'33-lb bag': '$48.99', '4-lb bag': '$11.99', '12-lb bag': '$26.99'}",33 Reviews
Pro Pac Ultimates Overland Grain-Free Red Beef & Potato Dry Dog Food,Pro Pac,a/b,"{'28-lb bag': '$45.24', '5-lb bag': '$15.25', '28-lb bag (new)': '$42.99', '5-lb bag (new)': '$14.49'}",85 Reviews
"
        Solid Gold Mighty Mini Small & Toy Breed Grain-Free Beef, Sweet Potato & Apple Dry Dog Food",Solid Gold,a/b,"{'11-lb bag': '34.99', '4-lb bag': '20.99'}",22 Reviews
"
        Merrick Grain-Free Dry Dog Food Real Lamb & Sweet Potato Recipe",Merrick,a/b,"{'22-lb bag': '69.98', '4-lb bag': '24.98'}",145 Reviews
"AvoDerm Advanced Joint Health Chicken Meal Formula Grain-Free Dry Dog Food, 24-lb bag",AvoDerm,a/b,"{'24-lb bag': '$64.99', '4.4-lb bag (Original)': '$13.06', '12-lb bag': '$38.71', '15-lb bag (Original)': '$33.92', '30-lb bag (Original)': '$66.81'}",34 Reviews
Dr. Gary's Best Breed Holistic Salmon with Vegetables & Herbs Dry Dog Food,Dr. Gary's Best Breed,a/b,"{'26-lb bag': '$58.99', '4-lb bag (Original)': '$14.99', '4-lb bag': '$16.49', '13-lb bag': '$33.49', '15-lb bag': '$48.99', '30-lb bag': '$56.99'}",63 Reviews
"
        Bundle: Royal Canin Golden Retriever Adult Dry Food + Greenies Large Dental Dog Treats", Royal Canin ,a/b,$126.97,0
American Natural Premium Endurance Plus Dry Dog Food,American Natural Premium,a/b,"{'33-lb bag': '$60.99', '12-lb bag': '$25.99'}",18 Reviews
"Supreme Source Grain-Free Pork, Peas & Wild Boar Recipe Dry Dog Food",Supreme Source,a/b,"{'22-lb bag': '$50.02', '5-lb bag': '$14.70', '11-lb bag': '$24.43'}",49 Reviews
"
        Royal Canin Size Health Nutrition Small Starter Mother & Babydog Dry Dog Food",Royal Canin,a/b,"{'15-lb bag': '60.44', '2-lb bag': '20.99'}",76 Reviews
Wishbone Graze Grain-Free Dry Dog Food,Wishbone,a/b,"{'12-lb bag': '$41.99', '4-lb bag': '$17.99', '24-lb bag': '$69.99'}",6 Reviews
Tender & True Chicken & Brown Rice Recipe Dry Dog Food,Tender & True,a/b,"{'23-lb bag': '$56.94', '4-lb bag': '$12.74', '11-lb bag': '$25.10'}",15 Reviews
"Triumph Free Spirit Grain-Free Duck, Vegetable & Venison Recipe Dry Dog Food, 3-lb bag",Triumph,a/b,{'3-lb bag': '$10.79'},5 Reviews
"Mediterranean Diet Deboned Chicken, Olive Oil, Fruit & Vegetable Recipe Adult Mini Breed Dry Dog Food",Mediterranean Diet,a/b,"{'12-lb bag': '$42.99', '4-lb bag': '$16.99'}",Write the First Review
"
        Bil-Jac Picky No More Small Breed Chicken Liver Recipe Dry Dog Food",Bil-Jac,a/b,"{'15-lb bag': '44.99', '6-lb bag': '23.99'}",243 Reviews
Natural Balance Zen Life Turkey & Barley Formula Dry Dog Food,Natural Balance,a/b,"{'4-lb bag': '$15.78', '24-lb bag': '$62.99'}",3 Reviews
Dr. Gary's Best Breed Chicken & Whitefish Meals Toy-Small Breed Recipe Dry Dog Food,Dr. Gary's Best Breed,a/b,"{'13-lb bag': '$38.49', '4-lb bag': '$16.99'}",4 Reviews
SPORTMiX CanineX Beef Meal & Vegetable Formula Dry Dog Food,SPORTMiX,a/b,"{'40-lb bag': '$49.99', '40-lb bag (Original)': '$46.01'}",30 Reviews
Adirondack Limited Ingredient Whitefish & Peas Recipe Grain-Free Dry Dog Food,Adirondack,a/b,"{'25-lb bag': '$58.99', '4-lb bag': '$14.99', '12-lb bag': '$32.99'}",Write the First Review
"
        Crave High Protein White Fish & Salmon Adult Grain-Free Dry Dog Food",Crave,a/b,"{'22-lb bag': '49.98', '12-lb bag': '28.98', '4-lb bag': '11.99'}",242 Reviews
"Wysong Adult Dry Dog Food, 5-lb bag",Wysong,a/b,"{'5-lb bag': '$10.49', '4-lb bag': '$6.87', '8-lb bag': '$12.61'}",38 Reviews
Chicken Soup for the Soul Beef & Legumes Recipe Grain-Free Dry Dog Food,Chicken Soup for the Soul,a/b,"{'25-lb bag': '$43.01', '4-lb bag': '$15.99'}",3 Reviews
"
        CANIDAE Under the Sun Grain-Free Large Breed Adult Chicken Recipe Dry Dog Food, 25-lb bag",CANIDAE,a/b,$49.99,14 Reviews
"
        Royal Canin Breed Health Nutrition Shih Tzu Adult Dry Dog Food",Royal Canin,a/b,"{'10-lb bag': '52.99', '2.5-lb bag': '20.99'}",253 Reviews
"
        Blue Buffalo Freedom Adult Chicken Recipe Grain-Free Dry Dog Food",Blue Buffalo,a/b,"{'4-lb bag': '19.98', '24-lb bag': '59.99', '11-lb bag': '34.98'}",463 Reviews
SquarePet VFS Skin & Digestive Support Dry Dog Food,SquarePet,a/b,"{'22-lb bag': '$86.09', '4.4-lb bag': '$24.99'}",6 Reviews
"
        Blue Buffalo Wilderness Duck Recipe Grain-Free Dry Dog Food",Blue Buffalo,a/b,"{'24-lb bag': '62.98', '4.5-lb bag': '20.98', '11-lb bag': '37.98'}",436 Reviews
Dr. Gary's Best Breed Holistic All Breed Dry Dog Food,Dr. Gary's Best Breed,a/b,"{'30-lb bag': '$58.99', '4-lb bag': '$14.99', '15-lb bag': '$31.99', '28-lb bag': None, '13-lb bag': '$31.99'}",34 Reviews
Horizon Pulsar Whole Grain Pork Recipe Dry Dog Food,Horizon,a/b,"{'25-lb bag': '$62.99', '8.8-lb bag': '$25.99'}",6 Reviews
Triumph Free Spirit Grain-Free Deboned Turkey & Sweet Potato Recipe Dry Dog Food,Triumph,a/b,"{'26-lb bag': '$41.70', '3-lb bag': '$10.92', '14-lb bag': '$32.00'}",23 Reviews
"
        Hill's Science Diet Adult Healthy Mobility Small Bites Chicken Meal, Brown Rice & Barley Recipe Dry Dog Food",Hill's Science Diet,a/b,"{'4-lb bag': '19.49', '30-lb bag': '68.99', '15.5-lb bag': '43.99'}",151 Reviews
"
        Merrick Grain-Free Large Breed Dry Dog Food Real Chicken & Sweet Potato Recipe, 22-lb bag",Merrick,a/b,$64.98,36 Reviews
"
        VICTOR Classic High Energy Formula Dry Dog Food",VICTOR,a/b,"{'50 -lb bag': '67.99', '40-lb bag': '52.99', '5-lb bag': '14.94'}",164 Reviews
"Nature's Recipe Grain-Free Lamb, Sweet Potato & Pumpkin Recipe Dry Dog Food",Nature's Recipe,a/b,"{'12-lb bag': '$28.98', '4-lb bag': '$6.88', '24-lb bag': '$45.98'}",90 Reviews
Adirondack Limited Ingredient Pork & Lentils Recipe Weight Management Grain-Free Dry Dog Food,Adirondack,a/b,"{'25-lb bag': '$54.99', '4-lb bag': '$12.59', '12-lb bag': '$27.90'}",1 Review
"
        Blue Buffalo Life Protection Formula Large Breed Adult Lamb & Brown Rice Recipe Dry Dog Food",Blue Buffalo,a/b,"{'30-lb bag': '58.99', '34-lb bag': '72.99'}",124 Reviews
